ENCODER,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
CatBoostEncoder,abalone-3_vs_11,borderline1,ABC,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,borderline1,DTREE,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,abalone-3_vs_11,borderline1,KNN,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,borderline1,LRG,NONE,NONE,0.98804,0.9800799999999998,0.9994,0.98248,0.9896400000000002,0.97758
CatBoostEncoder,abalone-3_vs_11,borderline1,MLP,NONE,NONE,0.997,0.996,0.9998799999999999,0.9962799999999999,0.99792,0.99548
CatBoostEncoder,abalone-3_vs_11,borderline1,RF,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,borderline1,SGD,NONE,NONE,0.9980399999999999,0.99802,0.9353200000000002,0.9978200000000002,0.9633,0.93752
CatBoostEncoder,abalone-3_vs_11,borderline1,SVM,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,credit-approval,borderline1,ABC,NONE,NONE,0.8457800000000001,0.8405799999999999,0.83998,0.8403200000000001,0.83844,0.7038
CatBoostEncoder,credit-approval,borderline1,DTREE,NONE,NONE,0.8420200000000001,0.8405800000000001,0.8278199999999998,0.8394799999999999,0.8318,0.69366
CatBoostEncoder,credit-approval,borderline1,KNN,NONE,NONE,0.6843199999999999,0.68408,0.67576,0.6839000000000001,0.67866,0.46196000000000004
CatBoostEncoder,credit-approval,borderline1,LRG,NONE,NONE,0.8705799999999999,0.8609,0.87224,0.8610200000000001,0.86434,0.74848
CatBoostEncoder,credit-approval,borderline1,MLP,NONE,NONE,0.72204,0.7058200000000001,0.7187600000000001,0.7052,0.7069799999999999,0.50166
CatBoostEncoder,credit-approval,borderline1,RF,NONE,NONE,0.8544600000000001,0.8507399999999999,0.8389,0.8495999999999999,0.8418999999999999,0.71038
CatBoostEncoder,credit-approval,borderline1,SGD,NONE,NONE,0.60588,0.5768199999999999,0.6036600000000001,0.57112,0.5740000000000001,0.33161999999999997
