ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,GEO,solid_angle,1.0,5.475,4.24375,3.71875,4.11875,4.04375,5.075,4.68125,4.64375
BinaryEncoder,GEO,solid_angle,1.0,5.4,4.23125,4.09375,4.11875,3.875,4.9875,4.6875,4.60625
CatBoostEncoder,GEO,solid_angle,1.0,5.00625,3.83125,4.13125,4.39375,4.6,5.20625,4.375,4.45625
GLMMEncoder,GEO,solid_angle,1.0,5.2875,4.24375,4.23125,4.21875,4.74375,4.5375,4.61875,4.11875
HashingEncoder,GEO,solid_angle,1.0,4.31875,3.3375,4.34375,4.64375,4.4375,5.25625,4.7,4.9625
HelmertEncoder,GEO,solid_angle,1.0,4.98125,3.86875,4.01875,4.2875,4.28125,4.99375,4.625,4.94375
JamesSteinEncoder,GEO,solid_angle,1.0,4.80625,3.84375,3.99375,4.38125,4.78125,4.88125,4.69375,4.61875
LeaveOneOutEncoder,GEO,solid_angle,1.0,4.4375,3.39375,4.43125,4.6125,4.775,4.84375,4.65625,4.85
MEstimateEncoder,GEO,solid_angle,1.0,4.88125,3.7875,4.6875,4.0625,4.81875,4.55,5.00625,4.20625
OneHotEncoder,GEO,solid_angle,1.0,5.725,4.56875,3.88125,3.71875,3.725,4.68125,4.56875,5.13125
OrdinalEncoder,GEO,solid_angle,1.0,4.8375,3.7625,3.84375,4.48125,4.23125,5.05625,4.86875,4.91875
SumEncoder,GEO,solid_angle,1.0,5.69375,4.5875,3.85625,3.8,4.1375,4.7625,4.6125,4.55
TargetEncoder,GEO,solid_angle,1.0,5.41875,4.225,4.225,4.25625,4.04375,4.46875,4.98125,4.38125
