ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,IBA,aspect_ratio,0.5,5.44375,4.16875,3.78125,4.23125,4.1625,5.1,4.7,4.4125
BinaryEncoder,IBA,aspect_ratio,0.5,5.31875,4.05625,3.99375,4.075,3.94375,4.95,4.66875,4.99375
CatBoostEncoder,IBA,aspect_ratio,0.5,4.90625,3.80625,4.11875,4.4625,4.53125,5.1125,4.39375,4.66875
GLMMEncoder,IBA,aspect_ratio,0.5,5.15625,4.1375,4.20625,4.1875,4.66875,4.51875,4.5875,4.5375
HashingEncoder,IBA,aspect_ratio,0.5,4.25625,3.13125,4.325,4.68125,4.44375,5.225,4.5625,5.375
HelmertEncoder,IBA,aspect_ratio,0.5,4.9375,3.8375,3.9625,4.20625,4.35625,5.08125,4.575,5.04375
JamesSteinEncoder,IBA,aspect_ratio,0.5,4.7875,3.75,3.91875,4.43125,4.7,4.81875,4.725,4.86875
LeaveOneOutEncoder,IBA,aspect_ratio,0.5,4.4,3.36875,4.44375,4.525,4.73125,4.775,4.5125,5.24375
MEstimateEncoder,IBA,aspect_ratio,0.5,4.79375,3.625,4.625,3.99375,4.70625,4.51875,5.04375,4.69375
OneHotEncoder,IBA,aspect_ratio,0.5,5.7,4.60625,3.9625,3.80625,3.6625,4.70625,4.625,4.93125
OrdinalEncoder,IBA,aspect_ratio,0.5,4.76875,3.65,3.8,4.35625,4.06875,5.04375,4.79375,5.51875
SumEncoder,IBA,aspect_ratio,0.5,5.5875,4.54375,3.8,3.8625,4.10625,4.725,4.59375,4.78125
TargetEncoder,IBA,aspect_ratio,0.5,5.4,4.19375,4.04375,4.175,4.0125,4.5375,4.91875,4.71875
