ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
CatBoostEncoder,ABC,4.3,4.1,5.3,4.8,4.7,5.05,3.4,4.35,PRE
CatBoostEncoder,KNN,3.9,3.7,4.35,3.95,5.15,5.5,4.95,4.5,PRE
CatBoostEncoder,LRG,3.5,4.3,4.2,4.15,5.4,4.9,5.05,4.5,PRE
CatBoostEncoder,RF,3.05,3.85,3.95,4.5,5.5,5.8,4.6,4.75,PRE
CatBoostEncoder,MLP,4.1,4.35,4.75,4.45,4.2,5.35,4.0,4.8,PRE
CatBoostEncoder,DTREE,3.2,3.6,5.4,3.7,5.7,5.3,4.1,5.0,PRE
CatBoostEncoder,SVM,4.95,4.55,3.25,4.25,3.6,5.25,4.45,5.7,PRE
CatBoostEncoder,SGD,4.7,3.35,2.7,5.65,4.9,5.2,3.8,5.7,PRE
,avarage,3.96,3.98,4.24,4.43,4.89,5.29,4.29,4.91,PRE
,std,0.68,0.42,0.94,0.6,0.71,0.27,0.57,0.53,PRE
