alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.91,4.39,4.99,4.51
1.0,4.63,4.61,4.61,4.57
7.0,4.39,4.52,4.46,4.55
