ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
GLMMEncoder,SGD,5.15,4.6,4.35,4.3,5.25,5.15,3.7,3.5,PRE
GLMMEncoder,KNN,4.6,4.1,4.5,4.5,4.35,5.15,5.0,3.8,PRE
GLMMEncoder,ABC,3.4,3.9,5.05,4.1,5.6,5.65,4.3,4.0,PRE
GLMMEncoder,LRG,3.45,3.85,4.85,4.65,4.35,5.55,5.15,4.15,PRE
GLMMEncoder,MLP,4.6,4.7,3.75,3.95,4.45,4.85,5.55,4.15,PRE
GLMMEncoder,DTREE,3.6,3.9,4.6,4.6,5.25,4.95,4.65,4.45,PRE
GLMMEncoder,SVM,4.9,4.85,3.2,4.8,4.6,5.6,3.35,4.7,PRE
GLMMEncoder,RF,3.1,3.9,4.6,3.7,5.3,5.0,5.5,4.9,PRE
,avarage,4.1,4.22,4.36,4.32,4.89,5.24,4.65,4.21,PRE
,std,0.79,0.42,0.61,0.38,0.51,0.32,0.81,0.46,PRE
