ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
MEstimateEncoder,DTREE,3.3,4.2,5.15,3.4,5.4,5.8,4.65,4.1,F1
MEstimateEncoder,SVM,4.35,4.25,4.35,4.3,4.2,5.0,4.75,4.8,F1
MEstimateEncoder,RF,3.35,3.55,4.75,4.25,5.5,4.7,4.9,5.0,F1
MEstimateEncoder,ABC,2.9,3.6,5.2,4.2,5.2,5.5,4.4,5.0,F1
MEstimateEncoder,KNN,3.3,4.0,4.65,4.3,4.65,5.05,4.95,5.1,F1
MEstimateEncoder,LRG,2.6,3.3,4.45,4.3,4.95,5.15,5.75,5.5,F1
MEstimateEncoder,MLP,3.1,3.15,5.0,4.05,5.1,5.95,4.05,5.6,F1
MEstimateEncoder,SGD,3.35,2.55,4.15,3.4,5.3,6.7,4.8,5.75,F1
,avarage,3.28,3.58,4.71,4.02,5.04,5.48,4.78,5.11,F1
,std,0.51,0.58,0.38,0.39,0.43,0.65,0.49,0.53,F1
