ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OrdinalEncoder,SVM,6.85,4.6,2.85,4.95,4.7,5.25,2.6,4.2,GEO
OrdinalEncoder,SGD,5.75,4.0,3.55,3.65,5.35,5.45,3.95,4.3,GEO
OrdinalEncoder,KNN,5.5,4.1,4.05,4.45,3.65,5.0,4.75,4.5,GEO
OrdinalEncoder,RF,4.05,3.55,4.45,5.0,4.95,4.85,4.5,4.65,GEO
OrdinalEncoder,ABC,5.55,4.8,3.45,3.75,2.95,4.75,6.05,4.7,GEO
OrdinalEncoder,DTREE,3.1,3.3,4.3,4.9,3.5,6.2,5.95,4.75,GEO
OrdinalEncoder,MLP,4.25,2.5,4.05,4.9,4.15,5.55,5.85,4.75,GEO
OrdinalEncoder,LRG,4.25,3.55,4.1,4.45,4.65,4.45,5.2,5.35,GEO
,avarage,4.91,3.8,3.85,4.51,4.24,5.19,4.86,4.65,GEO
,std,1.2,0.74,0.53,0.54,0.82,0.55,1.18,0.35,GEO
