ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
BaseNEncoder,RF,2.75,3.85,4.85,5.55,4.35,6.6,4.4,3.65,PRE
BaseNEncoder,MLP,4.6,4.5,4.0,2.9,5.5,5.8,4.8,3.9,PRE
BaseNEncoder,KNN,3.9,3.5,4.3,5.6,4.2,5.2,5.3,4.0,PRE
BaseNEncoder,ABC,4.75,5.15,4.35,3.85,3.85,4.65,4.85,4.55,PRE
BaseNEncoder,SGD,5.7,4.2,3.75,3.4,4.5,5.9,3.95,4.6,PRE
BaseNEncoder,LRG,3.15,4.55,4.05,4.95,3.8,5.85,4.9,4.75,PRE
BaseNEncoder,SVM,4.55,4.0,3.9,4.45,4.05,5.55,4.7,4.8,PRE
BaseNEncoder,DTREE,3.0,3.2,3.3,5.5,4.05,5.7,5.25,6.0,PRE
,avarage,4.05,4.12,4.06,4.52,4.29,5.66,4.77,4.53,PRE
,std,1.03,0.62,0.46,1.05,0.54,0.57,0.44,0.73,PRE
