ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
SumEncoder,LRG,3.5,4.75,4.2,4.35,4.5,5.95,4.75,4.0,PRE
SumEncoder,MLP,4.65,4.4,4.15,4.1,4.75,5.55,4.4,4.0,PRE
SumEncoder,SVM,5.15,5.25,3.2,4.55,4.35,5.95,3.5,4.05,PRE
SumEncoder,DTREE,4.45,5.15,3.05,3.55,4.65,5.25,4.85,5.05,PRE
SumEncoder,ABC,4.05,4.45,4.3,4.4,4.75,4.35,4.55,5.15,PRE
SumEncoder,KNN,4.8,3.9,4.8,4.0,4.2,4.7,4.4,5.2,PRE
SumEncoder,SGD,5.75,4.3,3.75,3.25,4.2,4.95,4.5,5.3,PRE
SumEncoder,RF,3.95,4.55,4.15,3.85,5.15,4.65,4.2,5.5,PRE
,avarage,4.54,4.59,3.95,4.01,4.57,5.17,4.39,4.78,PRE
,std,0.72,0.45,0.59,0.44,0.32,0.61,0.42,0.65,PRE
