ID,DATASET,FOLD,PREPROC,ALGORITHM,ORDER,ALPHA,ENCODER,PRE,REC,SPE,F1,GEO,IBA
kddcup-land_vs_portsweep_BaseNEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,BaseNEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_BinaryEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,BinaryEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_CatBoostEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,CatBoostEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_GLMMEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,GLMMEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_HashingEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,HashingEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_HelmertEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,HelmertEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_JamesSteinEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,JamesSteinEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_LeaveOneOutEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,LeaveOneOutEncoder,0.0006,0.0235,0.9765,0.0011,0.0000,0.0000
kddcup-land_vs_portsweep_MEstimateEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,MEstimateEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_OneHotEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,OneHotEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_OrdinalEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,OrdinalEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_SumEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,SumEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_TargetEncoder_dtosmote_RF,kddcup-land_vs_portsweep,0,dtosmote,RF,aspect_ratio,0.5,TargetEncoder,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
kddcup-land_vs_portsweep_BaseNEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,BaseNEncoder,0.9839,0.9484,0.9988,0.9612,0.9732,0.9423
kddcup-land_vs_portsweep_BinaryEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,BinaryEncoder,0.9844,0.9531,0.9989,0.9642,0.9757,0.9476
kddcup-land_vs_portsweep_CatBoostEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,CatBoostEncoder,0.9844,0.9531,0.9989,0.9642,0.9757,0.9476
kddcup-land_vs_portsweep_GLMMEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,GLMMEncoder,0.9839,0.9484,0.9988,0.9612,0.9732,0.9423
kddcup-land_vs_portsweep_HashingEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,HashingEncoder,0.9844,0.9531,0.9989,0.9642,0.9757,0.9476
kddcup-land_vs_portsweep_HelmertEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,HelmertEncoder,0.9856,0.9624,0.9991,0.9704,0.9806,0.9580
kddcup-land_vs_portsweep_JamesSteinEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,JamesSteinEncoder,0.9849,0.9577,0.9990,0.9673,0.9781,0.9528
kddcup-land_vs_portsweep_LeaveOneOutEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,LeaveOneOutEncoder,0.9856,0.9624,0.9991,0.9704,0.9806,0.9580
kddcup-land_vs_portsweep_MEstimateEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,MEstimateEncoder,0.9849,0.9577,0.9990,0.9673,0.9781,0.9528
kddcup-land_vs_portsweep_OneHotEncoder_dtosmote_KNN,kddcup-land_vs_portsweep,0,dtosmote,KNN,aspect_ratio,0.5,OneHotEncoder,0.9839,0.9484,0.9988,0.9612,0.9732,0.9423
