alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.48,4.38,4.54,4.48
1.0,4.34,4.12,4.37,4.23
7.0,4.11,4.14,4.11,4.13
