ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
TargetEncoder,KNN,5.7,4.5,4.55,4.5,4.05,3.85,5.05,3.8,IBA
TargetEncoder,MLP,5.2,3.75,4.6,4.15,4.05,5.7,4.65,3.9,IBA
TargetEncoder,SVM,7.35,4.75,3.75,4.4,3.4,3.9,4.15,4.3,IBA
TargetEncoder,DTREE,4.85,4.45,3.65,5.5,3.9,4.75,4.5,4.4,IBA
TargetEncoder,SGD,5.6,3.3,4.75,3.35,4.05,5.75,4.75,4.45,IBA
TargetEncoder,LRG,5.0,4.9,3.85,3.5,4.35,4.75,5.05,4.6,IBA
TargetEncoder,RF,4.7,4.3,4.0,4.35,4.7,4.1,5.2,4.65,IBA
TargetEncoder,ABC,4.95,3.85,3.85,4.05,3.75,4.05,6.35,5.15,IBA
,avarage,5.42,4.22,4.12,4.22,4.03,4.61,4.96,4.41,IBA
,std,0.86,0.55,0.44,0.66,0.39,0.77,0.66,0.43,IBA
