alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,5.52,4.98,5.52,5.04
1.0,5.07,4.92,5.08,4.93
7.0,5.2,4.65,5.26,4.67
