ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OrdinalEncoder,SVM,3.55,4.05,4.05,4.65,5.45,5.65,4.0,4.6,F1
OrdinalEncoder,DTREE,2.45,3.55,3.95,4.75,3.95,6.95,5.75,4.65,F1
OrdinalEncoder,RF,2.95,2.95,4.85,5.0,5.55,5.95,3.6,5.15,F1
OrdinalEncoder,ABC,3.9,4.2,4.0,3.9,4.3,6.0,4.2,5.5,F1
OrdinalEncoder,LRG,2.1,2.5,4.65,4.7,5.4,5.4,5.65,5.6,F1
OrdinalEncoder,SGD,4.0,3.1,4.2,3.8,5.45,5.85,4.0,5.6,F1
OrdinalEncoder,KNN,3.2,4.6,4.85,3.75,3.95,6.2,3.75,5.7,F1
OrdinalEncoder,MLP,2.85,2.5,4.55,5.1,4.0,5.9,5.3,5.8,F1
,avarage,3.12,3.43,4.39,4.46,4.76,5.99,4.53,5.32,F1
,std,0.67,0.8,0.38,0.55,0.76,0.46,0.88,0.47,F1
