ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,IBA,solid_angle,1.0,5.375,4.175,3.74375,4.15625,4.125,5.03125,4.625,4.76875
BinaryEncoder,IBA,solid_angle,1.0,5.3875,4.125,4.0625,4.10625,4.0,4.99375,4.75,4.575
CatBoostEncoder,IBA,solid_angle,1.0,4.93125,3.825,4.11875,4.44375,4.5625,5.23125,4.35625,4.53125
GLMMEncoder,IBA,solid_angle,1.0,5.225,4.19375,4.2125,4.2125,4.7625,4.5375,4.625,4.23125
HashingEncoder,IBA,solid_angle,1.0,4.30625,3.2375,4.35,4.64375,4.48125,5.2875,4.575,5.11875
HelmertEncoder,IBA,solid_angle,1.0,4.93125,3.83125,3.9625,4.21875,4.34375,5.11875,4.65,4.94375
JamesSteinEncoder,IBA,solid_angle,1.0,4.76875,3.76875,3.94375,4.48125,4.725,4.875,4.70625,4.73125
LeaveOneOutEncoder,IBA,solid_angle,1.0,4.425,3.375,4.45625,4.60625,4.7375,4.85625,4.59375,4.95
MEstimateEncoder,IBA,solid_angle,1.0,4.81875,3.675,4.7,4.0375,4.75625,4.6125,5.08125,4.31875
OneHotEncoder,IBA,solid_angle,1.0,5.675,4.55625,3.875,3.71875,3.7,4.73125,4.5375,5.20625
OrdinalEncoder,IBA,solid_angle,1.0,4.8,3.75625,3.85,4.46875,4.18125,5.15625,4.85625,4.93125
SumEncoder,IBA,solid_angle,1.0,5.61875,4.5625,3.8375,3.85625,4.1625,4.7875,4.59375,4.58125
TargetEncoder,IBA,solid_angle,1.0,5.41875,4.225,4.125,4.225,4.03125,4.60625,4.9625,4.40625
