ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,IBA,aspect_ratio,1.0,5.43125,4.15625,3.7375,4.21875,4.14375,5.1,4.64375,4.56875
BinaryEncoder,IBA,aspect_ratio,1.0,5.36875,4.08125,4.03125,4.1375,4.03125,5.01875,4.71875,4.6125
CatBoostEncoder,IBA,aspect_ratio,1.0,4.95625,3.81875,4.06875,4.4375,4.54375,5.21875,4.41875,4.5375
GLMMEncoder,IBA,aspect_ratio,1.0,5.2125,4.14375,4.2,4.2125,4.75,4.5375,4.575,4.36875
HashingEncoder,IBA,aspect_ratio,1.0,4.33125,3.2,4.35625,4.66875,4.475,5.275,4.60625,5.0875
HelmertEncoder,IBA,aspect_ratio,1.0,4.9375,3.7875,3.9875,4.18125,4.34375,5.08125,4.625,5.05625
JamesSteinEncoder,IBA,aspect_ratio,1.0,4.7625,3.7375,3.93125,4.46875,4.7375,4.86875,4.7,4.79375
LeaveOneOutEncoder,IBA,aspect_ratio,1.0,4.43125,3.39375,4.48125,4.58125,4.7,4.81875,4.575,5.01875
MEstimateEncoder,IBA,aspect_ratio,1.0,4.8125,3.68125,4.69375,4.0625,4.7625,4.5875,5.0625,4.3375
OneHotEncoder,IBA,aspect_ratio,1.0,5.71875,4.5875,3.925,3.76875,3.7625,4.7375,4.59375,4.90625
OrdinalEncoder,IBA,aspect_ratio,1.0,4.8,3.70625,3.8875,4.45625,4.15625,5.10625,4.80625,5.08125
SumEncoder,IBA,aspect_ratio,1.0,5.58125,4.5,3.75,3.79375,4.1,4.675,4.59375,5.00625
TargetEncoder,IBA,aspect_ratio,1.0,5.425,4.21875,4.04375,4.1875,4.0625,4.575,4.96875,4.51875
