alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.46,4.44,4.41,4.41
1.0,4.6,4.64,4.57,4.77
7.0,4.78,3.96,4.74,3.98
