ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
HashingEncoder,KNN,4.9,3.7,4.4,4.9,4.55,5.1,5.0,3.45,GEO
HashingEncoder,RF,4.1,3.2,5.25,4.9,4.5,5.0,4.55,4.5,GEO
HashingEncoder,MLP,3.9,2.95,3.75,4.55,4.45,5.8,6.0,4.6,GEO
HashingEncoder,ABC,3.1,2.75,5.05,5.05,5.05,5.25,4.9,4.85,GEO
HashingEncoder,SGD,5.1,3.65,4.35,4.25,4.6,5.0,3.95,5.1,GEO
HashingEncoder,DTREE,2.9,2.75,4.5,5.45,4.65,5.15,4.95,5.65,GEO
HashingEncoder,LRG,3.9,3.35,4.45,4.0,4.35,5.25,4.6,6.1,GEO
HashingEncoder,SVM,6.65,3.85,2.95,4.15,2.95,5.05,3.6,6.8,GEO
,avarage,4.32,3.28,4.34,4.66,4.39,5.2,4.69,5.13,GEO
,std,1.21,0.43,0.72,0.5,0.62,0.26,0.73,1.04,GEO
