ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
HelmertEncoder,KNN,6.1,4.1,3.05,4.65,4.25,4.4,5.35,4.1,SPE
HelmertEncoder,MLP,5.6,3.8,3.7,3.5,4.65,5.1,5.3,4.35,SPE
HelmertEncoder,DTREE,4.2,3.3,4.8,4.6,4.7,5.5,4.5,4.4,SPE
HelmertEncoder,RF,4.0,3.2,4.75,4.2,4.6,5.15,5.3,4.8,SPE
HelmertEncoder,LRG,4.3,3.75,4.4,4.85,4.4,4.5,4.9,4.9,SPE
HelmertEncoder,SGD,6.35,4.4,3.5,3.6,4.15,4.65,4.25,5.1,SPE
HelmertEncoder,ABC,4.65,2.85,4.35,4.35,4.25,5.05,5.25,5.25,SPE
HelmertEncoder,SVM,7.15,5.05,3.5,4.4,3.3,3.35,3.05,6.2,SPE
,avarage,5.29,3.81,4.01,4.27,4.29,4.71,4.74,4.89,SPE
,std,1.17,0.71,0.65,0.49,0.45,0.66,0.8,0.66,SPE
