ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,IBA,solid_angle,7.0,5.45,4.275,3.85,4.25,4.225,5.20625,4.76875,3.975
BinaryEncoder,IBA,solid_angle,7.0,5.3875,4.09375,4.09375,4.13125,3.9875,5.05625,4.7,4.55
CatBoostEncoder,IBA,solid_angle,7.0,4.91875,3.8125,4.1125,4.51875,4.5625,5.23125,4.43125,4.4125
GLMMEncoder,IBA,solid_angle,7.0,5.20625,4.2125,4.2625,4.20625,4.8,4.6,4.58125,4.13125
HashingEncoder,IBA,solid_angle,7.0,4.35625,3.25,4.4,4.7625,4.575,5.425,4.64375,4.5875
HelmertEncoder,IBA,solid_angle,7.0,4.9875,3.9,3.9375,4.24375,4.41875,5.23125,4.75,4.53125
JamesSteinEncoder,IBA,solid_angle,7.0,4.83125,3.8125,4.01875,4.61875,4.85625,5.00625,4.80625,4.05
LeaveOneOutEncoder,IBA,solid_angle,7.0,4.425,3.43125,4.53125,4.65,4.80625,4.975,4.65625,4.525
MEstimateEncoder,IBA,solid_angle,7.0,4.8375,3.6875,4.71875,4.0625,4.7375,4.625,5.09375,4.2375
OneHotEncoder,IBA,solid_angle,7.0,5.7375,4.60625,3.94375,3.8125,3.73125,4.825,4.56875,4.775
OrdinalEncoder,IBA,solid_angle,7.0,4.8625,3.76875,3.88125,4.46875,4.19375,5.26875,4.8875,4.66875
SumEncoder,IBA,solid_angle,7.0,5.5875,4.56875,3.80625,3.85625,4.15625,4.825,4.6125,4.5875
TargetEncoder,IBA,solid_angle,7.0,5.41875,4.25,4.13125,4.1875,4.175,4.63125,4.98125,4.225
