ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
MEstimateEncoder,KNN,5.2,3.4,4.35,4.6,4.75,3.85,5.95,3.9,GEO
MEstimateEncoder,MLP,5.0,3.45,5.0,3.85,5.0,4.85,4.95,3.9,GEO
MEstimateEncoder,RF,4.55,3.55,5.25,3.85,5.4,3.7,5.4,4.3,GEO
MEstimateEncoder,LRG,4.4,4.3,4.65,4.3,4.65,4.15,5.05,4.5,GEO
MEstimateEncoder,ABC,3.9,3.5,5.0,4.1,4.6,5.2,5.2,4.5,GEO
MEstimateEncoder,DTREE,4.1,4.1,5.2,3.4,5.0,5.2,4.4,4.6,GEO
MEstimateEncoder,SVM,6.75,4.25,3.55,4.7,3.6,3.9,4.35,4.9,GEO
MEstimateEncoder,SGD,5.0,3.2,4.55,3.2,5.2,5.05,4.6,5.2,GEO
,avarage,4.86,3.72,4.69,4.0,4.78,4.49,4.99,4.48,GEO
,std,0.89,0.43,0.56,0.53,0.55,0.65,0.54,0.45,GEO
