ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
LeaveOneOutEncoder,KNN,5.5,4.3,4.5,4.5,4.3,4.7,4.7,3.5,IBA
LeaveOneOutEncoder,LRG,5.6,5.5,3.85,4.0,3.85,4.35,5.25,3.6,IBA
LeaveOneOutEncoder,MLP,5.3,4.05,3.95,4.5,3.95,5.15,4.6,4.5,IBA
LeaveOneOutEncoder,SVM,7.15,4.8,2.5,4.45,4.8,3.8,3.8,4.7,IBA
LeaveOneOutEncoder,SGD,5.65,3.35,4.05,3.7,4.95,4.9,4.55,4.85,IBA
LeaveOneOutEncoder,DTREE,1.95,1.8,5.55,5.8,5.6,5.35,4.2,5.75,IBA
LeaveOneOutEncoder,RF,2.15,1.65,5.4,4.7,6.05,5.0,5.1,5.95,IBA
LeaveOneOutEncoder,ABC,2.1,1.55,5.85,5.2,4.4,5.6,4.55,6.75,IBA
,avarage,4.43,3.38,4.46,4.61,4.74,4.86,4.59,4.95,IBA
,std,2.03,1.54,1.11,0.66,0.78,0.57,0.46,1.14,IBA
