ID,DATASET,FOLD,PREPROC,ALGORITHM,ORDER,ALPHA,ENCODER,PRE,REC,SPE,F1,GEO,IBA
credit-approval_original_RF,credit-approval,0,original,RF,NONE,NONE,NONE,0.9178,0.9130,0.8994,0.9122,0.9037,0.8178
credit-approval_smotenc_RF,credit-approval,0,smotenc,RF,NONE,NONE,NONE,0.8993,0.8986,0.8905,0.8982,0.8936,0.7992
credit-approval_original_KNN,credit-approval,0,original,KNN,NONE,NONE,NONE,0.7572,0.7536,0.7307,0.7494,0.7335,0.5392
credit-approval_smotenc_KNN,credit-approval,0,smotenc,KNN,NONE,NONE,NONE,0.7611,0.7609,0.7455,0.7590,0.7494,0.5624
credit-approval_original_DTREE,credit-approval,0,original,DTREE,NONE,NONE,NONE,0.8408,0.8406,0.8313,0.8400,0.8347,0.6974
credit-approval_smotenc_DTREE,credit-approval,0,smotenc,DTREE,NONE,NONE,NONE,0.8307,0.8261,0.8076,0.8238,0.8118,0.6602
credit-approval_original_LRG,credit-approval,0,original,LRG,NONE,NONE,NONE,0.9205,0.9203,0.9201,0.9203,0.9202,0.8468
credit-approval_smotenc_LRG,credit-approval,0,smotenc,LRG,NONE,NONE,NONE,0.8840,0.8841,0.8787,0.8839,0.8810,0.7765
credit-approval_original_ABC,credit-approval,0,original,ABC,NONE,NONE,NONE,0.8841,0.8841,0.8816,0.8841,0.8828,0.7795
credit-approval_smotenc_ABC,credit-approval,0,smotenc,ABC,NONE,NONE,NONE,0.8771,0.8768,0.8757,0.8769,0.8763,0.7679
credit-approval_original_MLP,credit-approval,0,original,MLP,NONE,NONE,NONE,0.8487,0.8406,0.8194,0.8379,0.8234,0.6795
credit-approval_smotenc_MLP,credit-approval,0,smotenc,MLP,NONE,NONE,NONE,0.8202,0.8188,0.8195,0.8192,0.8192,0.6710
credit-approval_original_SVM,credit-approval,0,original,SVM,NONE,NONE,NONE,0.7548,0.6739,0.6062,0.6280,0.5462,0.3004
credit-approval_smotenc_SVM,credit-approval,0,smotenc,SVM,NONE,NONE,NONE,0.7666,0.7101,0.6536,0.6819,0.6223,0.3895
credit-approval_original_SGD,credit-approval,0,original,SGD,NONE,NONE,NONE,0.5283,0.5507,0.4522,0.4037,0.1262,0.0161
credit-approval_smotenc_SGD,credit-approval,0,smotenc,SGD,NONE,NONE,NONE,0.7043,0.6957,0.7042,0.6963,0.6987,0.4877
credit-approval_BaseNEncoder_smote_RF,credit-approval,0,smote,RF,NONE,NONE,BaseNEncoder,0.9007,0.8986,0.8875,0.8979,0.8914,0.7954
credit-approval_BaseNEncoder_borderline1_RF,credit-approval,0,borderline1,RF,NONE,NONE,BaseNEncoder,0.8624,0.8623,0.8550,0.8619,0.8579,0.7365
credit-approval_BaseNEncoder_borderline2_RF,credit-approval,0,borderline2,RF,NONE,NONE,BaseNEncoder,0.8916,0.8913,0.8846,0.8910,0.8873,0.7879
credit-approval_BaseNEncoder_smoteSVM_RF,credit-approval,0,smoteSVM,RF,NONE,NONE,BaseNEncoder,0.8993,0.8986,0.8905,0.8982,0.8936,0.7992
credit-approval_BaseNEncoder_geometric_smote_RF,credit-approval,0,geometric_smote,RF,NONE,NONE,BaseNEncoder,0.8993,0.8986,0.8905,0.8982,0.8936,0.7992
credit-approval_BaseNEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,solid_angle,7.0,BaseNEncoder,0.8993,0.8986,0.8905,0.8982,0.8936,0.7992
credit-approval_BinaryEncoder_smote_RF,credit-approval,0,smote,RF,NONE,NONE,BinaryEncoder,0.9073,0.9058,0.8964,0.9053,0.8999,0.8106
credit-approval_BinaryEncoder_borderline1_RF,credit-approval,0,borderline1,RF,NONE,NONE,BinaryEncoder,0.8993,0.8986,0.8905,0.8982,0.8936,0.7992
credit-approval_BinaryEncoder_borderline2_RF,credit-approval,0,borderline2,RF,NONE,NONE,BinaryEncoder,0.8847,0.8841,0.8757,0.8836,0.8789,0.7731
credit-approval_BinaryEncoder_smoteSVM_RF,credit-approval,0,smoteSVM,RF,NONE,NONE,BinaryEncoder,0.8993,0.8986,0.8905,0.8982,0.8936,0.7992
credit-approval_BinaryEncoder_geometric_smote_RF,credit-approval,0,geometric_smote,RF,NONE,NONE,BinaryEncoder,0.9239,0.9203,0.9082,0.9197,0.9123,0.8333
credit-approval_BinaryEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,solid_angle,7.0,BinaryEncoder,0.9073,0.9058,0.8964,0.9053,0.8999,0.8106
credit-approval_CatBoostEncoder_smote_RF,credit-approval,0,smote,RF,NONE,NONE,CatBoostEncoder,0.9007,0.8986,0.8875,0.8979,0.8914,0.7954
credit-approval_CatBoostEncoder_borderline1_RF,credit-approval,0,borderline1,RF,NONE,NONE,CatBoostEncoder,0.9029,0.8986,0.8846,0.8976,0.8889,0.7912
credit-approval_CatBoostEncoder_borderline2_RF,credit-approval,0,borderline2,RF,NONE,NONE,CatBoostEncoder,0.8779,0.8768,0.8668,0.8762,0.8704,0.7584
credit-approval_CatBoostEncoder_smoteSVM_RF,credit-approval,0,smoteSVM,RF,NONE,NONE,CatBoostEncoder,0.8849,0.8768,0.8579,0.8750,0.8623,0.7450
credit-approval_CatBoostEncoder_geometric_smote_RF,credit-approval,0,geometric_smote,RF,NONE,NONE,CatBoostEncoder,0.8943,0.8913,0.8786,0.8904,0.8828,0.7803
