ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
LeaveOneOutEncoder,KNN,5.5,4.4,4.5,4.5,4.2,4.7,4.5,3.7,GEO
LeaveOneOutEncoder,MLP,5.5,4.25,3.95,4.5,4.15,5.05,4.8,3.8,GEO
LeaveOneOutEncoder,LRG,5.5,5.55,3.75,3.75,3.85,4.25,4.75,4.6,GEO
LeaveOneOutEncoder,DTREE,2.05,1.75,5.6,5.9,5.7,5.35,4.4,5.25,GEO
LeaveOneOutEncoder,RF,2.25,1.65,5.5,4.7,6.15,5.0,5.1,5.65,GEO
LeaveOneOutEncoder,SGD,5.25,3.35,3.85,3.6,4.75,4.8,4.75,5.65,GEO
LeaveOneOutEncoder,SVM,7.15,4.6,2.4,4.35,4.2,3.5,3.8,6.0,GEO
LeaveOneOutEncoder,ABC,2.1,1.55,5.8,5.45,4.55,5.65,4.5,6.4,GEO
,avarage,4.41,3.39,4.42,4.59,4.69,4.79,4.57,5.13,GEO
,std,1.98,1.56,1.17,0.78,0.82,0.67,0.38,1.0,GEO
