ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
LeaveOneOutEncoder,KNN,5.8,3.95,4.35,5.7,4.2,3.8,4.8,3.4,SPE
LeaveOneOutEncoder,DTREE,3.1,2.8,6.0,5.9,5.75,4.7,4.35,3.4,SPE
LeaveOneOutEncoder,MLP,5.5,4.45,3.75,4.75,4.35,4.65,5.05,3.5,SPE
LeaveOneOutEncoder,RF,2.95,2.45,6.15,5.55,6.45,4.0,4.85,3.6,SPE
LeaveOneOutEncoder,LRG,6.1,5.55,4.2,4.2,3.95,3.55,4.65,3.8,SPE
LeaveOneOutEncoder,ABC,2.9,2.55,6.8,5.45,5.75,4.6,4.15,3.8,SPE
LeaveOneOutEncoder,SGD,6.05,3.75,5.5,3.2,4.35,4.95,4.2,4.0,SPE
LeaveOneOutEncoder,SVM,6.95,5.0,2.9,4.35,3.3,3.2,3.9,6.4,SPE
,avarage,4.92,3.81,4.96,4.89,4.76,4.18,4.49,3.99,SPE
,std,1.66,1.15,1.35,0.93,1.09,0.63,0.4,1.0,SPE
