ID,DATASET,FOLD,PREPROC,ALGORITHM,ORDER,ALPHA,ENCODER,PRE,REC,SPE,F1,GEO,IBA
abalone-3_vs_11_BaseNEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,BaseNEncoder,0.9792,0.9307,0.9979,0.9481,0.9636,0.9223
abalone-3_vs_11_BinaryEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,BinaryEncoder,0.9814,0.9505,0.9985,0.9611,0.9742,0.9444
abalone-3_vs_11_CatBoostEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,CatBoostEncoder,0.9881,0.9802,0.9994,0.9826,0.9897,0.9777
abalone-3_vs_11_GLMMEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,GLMMEncoder,0.9802,0.9406,0.9982,0.9545,0.9689,0.9334
abalone-3_vs_11_HashingEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,HashingEncoder,0.9802,0.9406,0.9982,0.9545,0.9689,0.9334
abalone-3_vs_11_HelmertEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,HelmertEncoder,0.9814,0.9505,0.9985,0.9611,0.9742,0.9444
abalone-3_vs_11_JamesSteinEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,JamesSteinEncoder,0.9814,0.9505,0.9985,0.9611,0.9742,0.9444
abalone-3_vs_11_LeaveOneOutEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,LeaveOneOutEncoder,0.9802,0.9406,0.9982,0.9545,0.9689,0.9334
abalone-3_vs_11_MEstimateEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,MEstimateEncoder,0.9814,0.9505,0.9985,0.9611,0.9742,0.9444
abalone-3_vs_11_OneHotEncoder_dtosmote_RF,abalone-3_vs_11,0,dtosmote,RF,aspect_ratio,0.5,OneHotEncoder,0.9802,0.9406,0.9982,0.9545,0.9689,0.9334
