alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.88,4.72,4.87,4.92
1.0,4.84,4.62,4.79,4.73
7.0,4.38,4.02,4.44,4.05
