ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,GEO,solid_angle,0.5,5.55,4.25625,3.71875,4.19375,4.10625,5.0625,4.66875,4.44375
BinaryEncoder,GEO,solid_angle,0.5,5.4375,4.25625,4.14375,4.15625,3.925,5.00625,4.6875,4.3875
CatBoostEncoder,GEO,solid_angle,0.5,5.0,3.84375,4.08125,4.35625,4.6125,5.11875,4.43125,4.55625
GLMMEncoder,GEO,solid_angle,0.5,5.20625,4.2125,4.2125,4.18125,4.7375,4.48125,4.59375,4.375
HashingEncoder,GEO,solid_angle,0.5,4.31875,3.29375,4.26875,4.74375,4.38125,5.175,4.65,5.16875
HelmertEncoder,GEO,solid_angle,0.5,4.95625,3.8875,4.04375,4.275,4.26875,4.98125,4.575,5.0125
JamesSteinEncoder,GEO,solid_angle,0.5,4.7875,3.8625,4.00625,4.38125,4.71875,4.8375,4.6875,4.71875
LeaveOneOutEncoder,GEO,solid_angle,0.5,4.41875,3.425,4.475,4.6125,4.73125,4.79375,4.61875,4.925
MEstimateEncoder,GEO,solid_angle,0.5,4.8625,3.71875,4.69375,4.0,4.775,4.4875,4.9875,4.475
OneHotEncoder,GEO,solid_angle,0.5,5.71875,4.625,3.975,3.7625,3.78125,4.7,4.5375,4.9
OrdinalEncoder,GEO,solid_angle,0.5,4.8375,3.7875,3.85625,4.48125,4.18125,5.04375,4.83125,4.98125
SumEncoder,GEO,solid_angle,0.5,5.6625,4.64375,3.84375,3.84375,4.15625,4.7125,4.69375,4.44375
TargetEncoder,GEO,solid_angle,0.5,5.38125,4.1625,4.15,4.2125,4.10625,4.46875,4.93125,4.5875
