alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.54,4.48,4.69,4.61
1.0,4.4,4.21,4.34,4.32
7.0,4.29,4.2,4.38,4.24
