alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.69,4.44,4.78,4.57
1.0,4.97,4.55,5.01,4.58
7.0,4.39,4.34,4.43,4.59
