ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,GEO,solid_angle,7.0,5.5375,4.3375,3.8125,4.2,4.1125,5.25,4.7875,3.9625
BinaryEncoder,GEO,solid_angle,7.0,5.41875,4.21875,4.13125,4.15,3.85625,5.0625,4.64375,4.51875
CatBoostEncoder,GEO,solid_angle,7.0,4.96875,3.8375,4.125,4.46875,4.6125,5.20625,4.4125,4.36875
GLMMEncoder,GEO,solid_angle,7.0,5.25,4.25625,4.25,4.20625,4.76875,4.55,4.58125,4.1375
HashingEncoder,GEO,solid_angle,7.0,4.36875,3.3625,4.39375,4.7375,4.48125,5.36875,4.74375,4.54375
HelmertEncoder,GEO,solid_angle,7.0,5.03125,3.93125,4.025,4.34375,4.375,5.13125,4.725,4.4375
JamesSteinEncoder,GEO,solid_angle,7.0,4.875,3.91875,4.025,4.525,4.84375,5.01875,4.76875,4.025
LeaveOneOutEncoder,GEO,solid_angle,7.0,4.45,3.475,4.49375,4.70625,4.83125,4.9625,4.70625,4.375
MEstimateEncoder,GEO,solid_angle,7.0,4.8875,3.8,4.70625,4.05,4.775,4.5625,5.01875,4.2
OneHotEncoder,GEO,solid_angle,7.0,5.79375,4.6375,3.95,3.7875,3.7625,4.79375,4.58125,4.69375
OrdinalEncoder,GEO,solid_angle,7.0,4.9125,3.8,3.85,4.50625,4.2375,5.1875,4.85625,4.65
SumEncoder,GEO,solid_angle,7.0,5.70625,4.6375,3.85625,3.81875,4.1625,4.81875,4.6625,4.3375
TargetEncoder,GEO,solid_angle,7.0,5.43125,4.25,4.23125,4.2,4.1875,4.53125,4.975,4.19375
