ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,IBA,solid_angle,0.5,5.45,4.2125,3.76875,4.23125,4.2125,5.05625,4.6625,4.40625
BinaryEncoder,IBA,solid_angle,0.5,5.3875,4.15,4.075,4.11875,4.05,5.00625,4.7,4.5125
CatBoostEncoder,IBA,solid_angle,0.5,4.93125,3.825,4.09375,4.40625,4.5625,5.15625,4.4125,4.6125
GLMMEncoder,IBA,solid_angle,0.5,5.14375,4.15,4.19375,4.2,4.75625,4.53125,4.55,4.475
HashingEncoder,IBA,solid_angle,0.5,4.25625,3.15625,4.3,4.71875,4.4125,5.225,4.5125,5.41875
HelmertEncoder,IBA,solid_angle,0.5,4.9,3.8875,3.9875,4.19375,4.31875,5.11875,4.5875,5.00625
JamesSteinEncoder,IBA,solid_angle,0.5,4.75,3.7625,3.93125,4.41875,4.7,4.80625,4.7125,4.91875
LeaveOneOutEncoder,IBA,solid_angle,0.5,4.41875,3.38125,4.4875,4.56875,4.73125,4.80625,4.54375,5.0625
MEstimateEncoder,IBA,solid_angle,0.5,4.75,3.61875,4.69375,4.025,4.725,4.5375,5.0375,4.6125
OneHotEncoder,IBA,solid_angle,0.5,5.65625,4.6125,3.94375,3.7875,3.78125,4.7625,4.50625,4.95
OrdinalEncoder,IBA,solid_angle,0.5,4.8,3.73125,3.875,4.44375,4.16875,5.10625,4.83125,5.04375
SumEncoder,IBA,solid_angle,0.5,5.6,4.61875,3.825,3.8625,4.15625,4.7125,4.65625,4.56875
TargetEncoder,IBA,solid_angle,0.5,5.35625,4.1625,4.0375,4.19375,4.03125,4.54375,4.9,4.775
