alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,5.25,5.17,5.38,5.42
1.0,5.13,4.96,5.09,5.12
7.0,4.81,4.54,4.93,4.59
