ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,IBA,aspect_ratio,7.0,5.4125,4.1375,3.7125,4.2,4.10625,5.05625,4.6375,4.7375
BinaryEncoder,IBA,aspect_ratio,7.0,5.425,4.09375,4.05,4.14375,4.01875,5.075,4.7375,4.45625
CatBoostEncoder,IBA,aspect_ratio,7.0,4.9,3.80625,4.075,4.4625,4.54375,5.2125,4.36875,4.63125
GLMMEncoder,IBA,aspect_ratio,7.0,5.18125,4.19375,4.23125,4.225,4.81875,4.63125,4.6125,4.10625
HashingEncoder,IBA,aspect_ratio,7.0,4.325,3.175,4.4375,4.68125,4.5,5.3375,4.61875,4.925
HelmertEncoder,IBA,aspect_ratio,7.0,5.01875,3.8875,3.9875,4.23125,4.39375,5.23125,4.68125,4.56875
JamesSteinEncoder,IBA,aspect_ratio,7.0,4.8,3.79375,3.95625,4.55625,4.76875,4.9,4.78125,4.44375
LeaveOneOutEncoder,IBA,aspect_ratio,7.0,4.4625,3.43125,4.53125,4.65,4.76875,5.0125,4.6875,4.45625
MEstimateEncoder,IBA,aspect_ratio,7.0,4.8375,3.6375,4.70625,4.0375,4.7125,4.5875,5.10625,4.375
OneHotEncoder,IBA,aspect_ratio,7.0,5.725,4.6125,3.96875,3.8,3.73125,4.825,4.6,4.7375
OrdinalEncoder,IBA,aspect_ratio,7.0,4.78125,3.63125,3.8125,4.4125,4.125,5.15,4.825,5.2625
SumEncoder,IBA,aspect_ratio,7.0,5.6125,4.56875,3.81875,3.8875,4.18125,4.88125,4.625,4.425
TargetEncoder,IBA,aspect_ratio,7.0,5.39375,4.24375,4.0625,4.2125,4.075,4.6125,5.01875,4.38125
