ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
LeaveOneOutEncoder,KNN,3.9,3.7,5.1,4.9,4.6,5.0,4.5,4.3,PRE
LeaveOneOutEncoder,LRG,3.6,4.35,4.95,4.3,4.35,4.55,5.35,4.55,PRE
LeaveOneOutEncoder,MLP,3.9,4.25,4.45,5.05,3.75,4.65,5.15,4.8,PRE
LeaveOneOutEncoder,DTREE,2.35,2.15,5.2,4.9,5.1,5.8,4.65,5.85,PRE
LeaveOneOutEncoder,SVM,4.55,4.1,3.4,4.35,4.5,4.6,4.6,5.9,PRE
LeaveOneOutEncoder,SGD,4.3,3.3,2.5,4.55,5.2,5.05,4.8,6.3,PRE
LeaveOneOutEncoder,RF,2.15,2.05,5.05,4.55,5.65,5.3,4.85,6.4,PRE
LeaveOneOutEncoder,ABC,2.0,1.65,5.5,5.35,4.35,5.4,4.35,7.4,PRE
,avarage,3.34,3.19,4.52,4.74,4.69,5.04,4.78,5.69,PRE
,std,1.02,1.09,1.04,0.37,0.6,0.44,0.33,1.06,PRE
