ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
TargetEncoder,SGD,6.6,4.2,4.35,4.45,3.9,4.45,4.3,3.75,SPE
TargetEncoder,MLP,5.5,4.3,4.55,4.5,4.25,4.5,4.6,3.8,SPE
TargetEncoder,KNN,6.1,3.9,4.45,5.1,4.15,2.65,5.55,4.1,SPE
TargetEncoder,LRG,5.6,4.85,4.15,3.85,4.05,3.95,5.45,4.1,SPE
TargetEncoder,DTREE,5.35,4.35,3.65,5.4,3.8,4.55,4.6,4.3,SPE
TargetEncoder,SVM,7.35,5.05,4.35,4.1,3.3,3.1,4.35,4.4,SPE
TargetEncoder,RF,5.0,4.1,3.9,4.3,4.7,4.05,5.2,4.75,SPE
TargetEncoder,ABC,5.15,3.6,3.95,4.15,3.8,3.95,6.35,5.05,SPE
,avarage,5.83,4.29,4.17,4.48,3.99,3.9,5.05,4.28,SPE
,std,0.8,0.47,0.31,0.52,0.41,0.69,0.72,0.45,SPE
