ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,GEO,aspect_ratio,0.5,5.53125,4.2,3.73125,4.18125,4.08125,5.11875,4.7,4.45625
BinaryEncoder,GEO,aspect_ratio,0.5,5.35625,4.1625,4.075,4.1,3.83125,4.95625,4.60625,4.9125
CatBoostEncoder,GEO,aspect_ratio,0.5,4.94375,3.825,4.11875,4.4125,4.59375,5.09375,4.4125,4.6
GLMMEncoder,GEO,aspect_ratio,0.5,5.18125,4.2,4.2125,4.19375,4.6625,4.48125,4.59375,4.475
HashingEncoder,GEO,aspect_ratio,0.5,4.29375,3.25625,4.29375,4.66875,4.375,5.1875,4.675,5.25
HelmertEncoder,GEO,aspect_ratio,0.5,4.9625,3.8625,4.00625,4.2625,4.29375,4.96875,4.575,5.06875
JamesSteinEncoder,GEO,aspect_ratio,0.5,4.8,3.85,3.93125,4.35625,4.69375,4.8375,4.65,4.88125
LeaveOneOutEncoder,GEO,aspect_ratio,0.5,4.4125,3.3875,4.41875,4.59375,4.69375,4.7875,4.575,5.13125
MEstimateEncoder,GEO,aspect_ratio,0.5,4.85625,3.725,4.6375,3.98125,4.78125,4.48125,4.99375,4.54375
OneHotEncoder,GEO,aspect_ratio,0.5,5.7625,4.65625,3.9875,3.76875,3.6875,4.66875,4.61875,4.85
OrdinalEncoder,GEO,aspect_ratio,0.5,4.79375,3.65625,3.78125,4.39375,4.09375,4.95625,4.80625,5.51875
SumEncoder,GEO,aspect_ratio,0.5,5.675,4.60625,3.81875,3.81875,4.09375,4.7,4.59375,4.69375
TargetEncoder,GEO,aspect_ratio,0.5,5.3875,4.16875,4.18125,4.15625,4.0375,4.45,4.925,4.69375
