ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
HashingEncoder,KNN,2.6,3.95,5.0,4.65,5.15,5.85,4.1,4.7,REC
HashingEncoder,ABC,2.0,2.35,5.8,5.4,5.45,6.15,3.9,4.95,REC
HashingEncoder,SGD,3.4,3.3,4.0,4.6,5.6,5.55,4.25,5.3,REC
HashingEncoder,LRG,1.8,2.5,4.55,4.85,5.35,6.0,5.5,5.45,REC
HashingEncoder,MLP,2.05,2.35,4.3,5.45,4.5,5.9,5.65,5.8,REC
HashingEncoder,RF,1.8,3.25,5.35,4.7,4.7,6.1,4.2,5.9,REC
HashingEncoder,SVM,2.8,3.7,4.2,5.0,4.35,5.15,4.7,6.1,REC
HashingEncoder,DTREE,2.15,2.85,4.5,5.05,4.6,5.25,4.95,6.65,REC
,avarage,2.32,3.03,4.71,4.96,4.96,5.74,4.66,5.61,REC
,std,0.56,0.62,0.62,0.33,0.48,0.38,0.66,0.64,REC
