ENCODER,UNIT,ORDER,ALPHA,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO
BaseNEncoder,GEO,aspect_ratio,7.0,5.5,4.16875,3.6375,4.175,3.99375,5.0875,4.65625,4.78125
BinaryEncoder,GEO,aspect_ratio,7.0,5.4625,4.225,4.13125,4.15625,3.90625,5.05,4.675,4.39375
CatBoostEncoder,GEO,aspect_ratio,7.0,4.95,3.825,4.075,4.3875,4.56875,5.18125,4.3875,4.625
GLMMEncoder,GEO,aspect_ratio,7.0,5.225,4.25,4.23125,4.225,4.8,4.575,4.5875,4.10625
HashingEncoder,GEO,aspect_ratio,7.0,4.3375,3.2875,4.40625,4.69375,4.44375,5.2875,4.73125,4.8125
HelmertEncoder,GEO,aspect_ratio,7.0,5.06875,3.925,4.03125,4.3125,4.35625,5.125,4.65625,4.525
JamesSteinEncoder,GEO,aspect_ratio,7.0,4.8125,3.85625,3.99375,4.49375,4.7875,4.93125,4.74375,4.38125
LeaveOneOutEncoder,GEO,aspect_ratio,7.0,4.4375,3.45,4.51875,4.66875,4.75625,4.975,4.7125,4.48125
MEstimateEncoder,GEO,aspect_ratio,7.0,4.925,3.7375,4.66875,4.025,4.775,4.525,5.05625,4.2875
OneHotEncoder,GEO,aspect_ratio,7.0,5.8,4.6375,3.975,3.7625,3.75625,4.80625,4.60625,4.65625
OrdinalEncoder,GEO,aspect_ratio,7.0,4.83125,3.675,3.79375,4.475,4.1625,5.0625,4.8,5.2
SumEncoder,GEO,aspect_ratio,7.0,5.7,4.58125,3.8375,3.84375,4.14375,4.8125,4.6875,4.39375
TargetEncoder,GEO,aspect_ratio,7.0,5.41875,4.24375,4.2,4.25625,4.0875,4.51875,5.0,4.275
