ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
LeaveOneOutEncoder,SGD,3.7,3.05,4.3,4.4,5.6,5.45,5.95,3.55,F1
LeaveOneOutEncoder,LRG,2.75,3.75,4.6,4.25,5.2,5.8,5.8,3.85,F1
LeaveOneOutEncoder,KNN,2.9,4.5,5.9,4.6,4.7,5.7,3.7,4.0,F1
LeaveOneOutEncoder,SVM,3.95,4.8,3.8,4.45,5.1,4.5,4.9,4.5,F1
LeaveOneOutEncoder,MLP,3.5,3.85,5.0,4.6,3.9,5.6,4.25,5.3,F1
LeaveOneOutEncoder,RF,2.05,2.15,5.3,4.4,5.7,5.7,5.2,5.5,F1
LeaveOneOutEncoder,DTREE,1.75,1.9,4.9,5.75,4.75,6.5,4.65,5.8,F1
LeaveOneOutEncoder,ABC,2.0,1.75,5.6,5.55,4.5,5.95,4.4,6.25,F1
,avarage,2.82,3.22,4.93,4.75,4.93,5.65,4.86,4.84,F1
,std,0.84,1.19,0.69,0.57,0.59,0.56,0.77,1.0,F1
