alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.69,4.59,4.72,4.78
1.0,4.54,4.38,4.52,4.41
7.0,4.28,4.19,4.38,4.22
