ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
MEstimateEncoder,DTREE,3.4,4.3,5.15,3.3,5.3,5.6,4.65,4.3,F1
MEstimateEncoder,ABC,2.9,3.6,5.1,4.3,5.2,5.7,4.4,4.8,F1
MEstimateEncoder,RF,3.25,3.45,4.75,4.35,5.3,4.8,4.9,5.2,F1
MEstimateEncoder,MLP,3.0,3.05,4.9,3.95,5.2,6.05,4.05,5.8,F1
MEstimateEncoder,SGD,3.35,2.55,4.25,3.45,5.25,6.7,4.6,5.85,F1
MEstimateEncoder,KNN,3.1,3.8,4.35,4.3,4.55,4.95,4.85,6.1,F1
MEstimateEncoder,LRG,2.6,3.3,4.25,4.2,4.95,4.95,5.65,6.1,F1
MEstimateEncoder,SVM,4.25,3.95,3.95,4.0,3.9,4.7,4.35,6.9,F1
,avarage,3.23,3.5,4.59,3.98,4.96,5.43,4.68,5.63,F1
,std,0.49,0.55,0.45,0.4,0.5,0.71,0.48,0.83,F1
