alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,5.13,4.93,5.24,5.06
1.0,4.91,4.85,5.02,4.95
7.0,4.48,4.38,4.46,4.52
