ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
JamesSteinEncoder,RF,4.85,4.25,4.15,4.65,5.35,4.25,5.0,3.5,SPE
JamesSteinEncoder,ABC,4.3,3.0,4.7,4.6,5.0,4.95,5.5,3.95,SPE
JamesSteinEncoder,KNN,5.9,3.9,3.85,5.0,4.45,3.85,5.05,4.0,SPE
JamesSteinEncoder,LRG,5.1,4.5,4.8,4.2,4.15,4.15,5.1,4.0,SPE
JamesSteinEncoder,DTREE,4.75,4.5,4.4,4.4,4.65,5.6,3.35,4.35,SPE
JamesSteinEncoder,SGD,5.7,4.05,4.05,4.4,4.1,3.4,5.9,4.4,SPE
JamesSteinEncoder,MLP,5.05,3.9,3.4,4.3,5.75,3.0,5.7,4.9,SPE
JamesSteinEncoder,SVM,7.15,5.0,3.15,4.25,3.1,3.3,3.65,6.4,SPE
,avarage,5.35,4.14,4.06,4.48,4.57,4.06,4.91,4.44,SPE
,std,0.89,0.59,0.58,0.26,0.83,0.88,0.93,0.89,SPE
