alphas,aspect_ratio_GEO,solid_angle_GEO,aspect_ratio_IBA,solid_angle_IBA
0.5,4.85,4.9,4.93,4.95
1.0,4.86,5.13,4.91,5.21
7.0,4.66,4.69,4.74,4.78
