ENCODER,ALGORITHM,RANK_ORIGINAL,RANK_SMOTENC,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,UNIT
OneHotEncoder,RF,4.5,5.0,4.55,4.3,4.05,4.8,5.0,3.8,F1
OneHotEncoder,MLP,4.45,4.45,4.35,3.75,4.15,5.85,5.05,3.95,F1
OneHotEncoder,LRG,3.75,5.6,3.6,3.15,4.0,5.3,6.5,4.1,F1
OneHotEncoder,ABC,4.3,4.3,5.3,4.6,3.7,5.55,4.0,4.25,F1
OneHotEncoder,KNN,2.9,4.1,4.3,4.7,5.3,5.7,4.3,4.7,F1
OneHotEncoder,DTREE,3.6,4.8,3.6,3.3,3.6,6.35,5.7,5.05,F1
OneHotEncoder,SVM,4.85,4.6,3.3,4.6,3.95,4.35,5.25,5.1,F1
OneHotEncoder,SGD,4.6,3.25,4.45,3.7,3.4,5.55,4.6,6.45,F1
,avarage,4.12,4.51,4.18,4.01,4.02,5.43,5.05,4.68,F1
,std,0.65,0.69,0.65,0.62,0.58,0.62,0.8,0.87,F1
